,FIPS,TimeFromStart,Predicted_Cases,Cases,Date,split
2018239,26129,655,19.0,18.0,2021-12-15,test
2021381,26129,656,5.0,0.0,2021-12-16,test
2024523,26129,657,19.0,26.0,2021-12-17,test
2027665,26129,658,2.0,0.0,2021-12-18,test
2030807,26129,659,1.0,0.0,2021-12-19,test
2033949,26129,660,21.0,11.0,2021-12-20,test
2037091,26129,661,5.0,0.0,2021-12-21,test
2040233,26129,662,16.0,11.0,2021-12-22,test
2043375,26129,663,4.0,0.0,2021-12-23,test
2046517,26129,664,19.0,0.0,2021-12-24,test
2049659,26129,665,2.0,0.0,2021-12-25,test
2052801,26129,666,1.0,0.0,2021-12-26,test
2055943,26129,667,18.0,34.0,2021-12-27,test
2059085,26129,668,4.0,0.0,2021-12-28,test
2062227,26129,669,15.0,13.0,2021-12-29,test
